Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
BAKING MOULD HEART WHITE CHOCOLATE,1,2.55,2.55,2010,December,Wednesday,10 AM,Weekday
BAKING MOULD HEART WHITE CHOCOLATE,2,2.55,5.1,2010,December,Wednesday,10 AM,Weekday
BAKING MOULD HEART WHITE CHOCOLATE,72,2.1,151.2,2010,December,Wednesday,12 PM,Weekday
BAKING MOULD HEART WHITE CHOCOLATE,6,2.55,15.3,2010,December,Thursday,10 AM,Weekday
BAKING MOULD HEART WHITE CHOCOLATE,6,2.55,15.3,2010,December,Thursday,10 AM,Weekday
BAKING MOULD HEART WHITE CHOCOLATE,1,2.55,2.55,2010,December,Friday,12 PM,Weekday
BAKING MOULD HEART WHITE CHOCOLATE,1,2.54,2.54,2010,December,Friday,2 PM,Weekday
BAKING MOULD HEART WHITE CHOCOLATE,1,5.06,5.06,2010,December,Monday,11 AM,Weekday
BAKING MOULD HEART WHITE CHOCOLATE,6,2.55,15.3,2010,December,Monday,3 PM,Weekday
BAKING MOULD HEART WHITE CHOCOLATE,6,2.55,15.3,2010,December,Thursday,9 AM,Weekday
BAKING MOULD HEART WHITE CHOCOLATE,12,2.55,30.6,2010,December,Thursday,10 AM,Weekday
BAKING MOULD HEART WHITE CHOCOLATE,3,2.55,7.65,2010,December,Friday,2 PM,Weekday
BAKING MOULD HEART WHITE CHOCOLATE,3,2.55,7.65,2010,December,Sunday,3 PM,Weekend
BAKING MOULD HEART WHITE CHOCOLATE,8,2.55,20.4,2011,January,Wednesday,10 AM,Weekday
BAKING MOULD HEART WHITE CHOCOLATE,2,2.55,5.1,2011,January,Wednesday,3 PM,Weekday
BAKING MOULD HEART WHITE CHOCOLATE,2,2.55,5.1,2011,January,Thursday,12 PM,Weekday
BAKING MOULD HEART WHITE CHOCOLATE,2,2.55,5.1,2011,January,Thursday,1 PM,Weekday
BAKING MOULD HEART WHITE CHOCOLATE,6,2.55,15.3,2011,January,Thursday,4 PM,Weekday
BAKING MOULD HEART WHITE CHOCOLATE,1,2.55,2.55,2011,January,Friday,2 PM,Weekday
BAKING MOULD HEART WHITE CHOCOLATE,2,2.55,5.1,2011,January,Sunday,11 AM,Weekend
BAKING MOULD HEART WHITE CHOCOLATE,1,2.55,2.55,2011,January,Sunday,3 PM,Weekend
BAKING MOULD HEART WHITE CHOCOLATE,1,2.55,2.55,2011,January,Monday,10 AM,Weekday
BAKING MOULD HEART WHITE CHOCOLATE,6,2.55,15.3,2011,January,Wednesday,10 AM,Weekday
BAKING MOULD HEART WHITE CHOCOLATE,3,2.55,7.65,2011,January,Wednesday,10 AM,Weekday
BAKING MOULD HEART WHITE CHOCOLATE,4,2.55,10.2,2011,January,Wednesday,1 PM,Weekday
BAKING MOULD HEART WHITE CHOCOLATE,144,2.1,302.4,2011,January,Friday,2 PM,Weekday
BAKING MOULD HEART WHITE CHOCOLATE,1,2.55,2.55,2011,January,Sunday,10 AM,Weekend
BAKING MOULD HEART WHITE CHOCOLATE,1,2.55,2.55,2011,January,Sunday,1 PM,Weekend
BAKING MOULD HEART WHITE CHOCOLATE,1,2.55,2.55,2011,January,Monday,11 AM,Weekday
BAKING MOULD HEART WHITE CHOCOLATE,3,2.55,7.65,2011,January,Monday,3 PM,Weekday
BAKING MOULD HEART WHITE CHOCOLATE,5,2.55,12.75,2011,January,Tuesday,1 PM,Weekday
BAKING MOULD HEART WHITE CHOCOLATE,6,2.55,15.3,2011,January,Wednesday,10 AM,Weekday
BAKING MOULD HEART WHITE CHOCOLATE,6,2.55,15.3,2011,January,Wednesday,2 PM,Weekday
BAKING MOULD HEART WHITE CHOCOLATE,2,2.55,5.1,2011,January,Wednesday,4 PM,Weekday
BAKING MOULD HEART WHITE CHOCOLATE,12,2.55,30.6,2011,January,Thursday,3 PM,Weekday
BAKING MOULD HEART WHITE CHOCOLATE,1,2.55,2.55,2011,January,Friday,1 PM,Weekday
BAKING MOULD HEART WHITE CHOCOLATE,2,2.55,5.1,2011,January,Friday,1 PM,Weekday
BAKING MOULD HEART WHITE CHOCOLATE,1,2.55,2.55,2011,January,Sunday,1 PM,Weekend
BAKING MOULD HEART WHITE CHOCOLATE,6,2.55,15.3,2011,January,Monday,9 AM,Weekday
