Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
GLASS APOTHECARY BOTTLE TONIC,4,3.95,15.8,2011,June,Tuesday,2 PM,Weekday
GLASS APOTHECARY BOTTLE TONIC,1,3.95,3.95,2011,June,Thursday,3 PM,Weekday
GLASS APOTHECARY BOTTLE TONIC,12,3.45,41.4,2011,June,Thursday,4 PM,Weekday
GLASS APOTHECARY BOTTLE TONIC,4,3.95,15.8,2011,June,Thursday,10 AM,Weekday
GLASS APOTHECARY BOTTLE TONIC,4,3.95,15.8,2011,June,Friday,10 AM,Weekday
GLASS APOTHECARY BOTTLE TONIC,4,3.95,15.8,2011,June,Friday,12 PM,Weekday
GLASS APOTHECARY BOTTLE TONIC,12,3.45,41.4,2011,June,Friday,5 PM,Weekday
GLASS APOTHECARY BOTTLE TONIC,12,3.45,41.4,2011,June,Tuesday,8 AM,Weekday
GLASS APOTHECARY BOTTLE TONIC,4,3.95,15.8,2011,June,Wednesday,1 PM,Weekday
GLASS APOTHECARY BOTTLE TONIC,2,3.95,7.9,2011,June,Wednesday,3 PM,Weekday
GLASS APOTHECARY BOTTLE TONIC,4,3.95,15.8,2011,June,Thursday,10 AM,Weekday
GLASS APOTHECARY BOTTLE TONIC,4,3.95,15.8,2011,July,Friday,12 PM,Weekday
GLASS APOTHECARY BOTTLE TONIC,2,3.95,7.9,2011,July,Sunday,10 AM,Weekend
GLASS APOTHECARY BOTTLE TONIC,2,3.95,7.9,2011,July,Monday,12 PM,Weekday
GLASS APOTHECARY BOTTLE TONIC,12,3.45,41.4,2011,July,Thursday,1 PM,Weekday
GLASS APOTHECARY BOTTLE TONIC,3,3.95,11.85,2011,July,Thursday,6 PM,Weekday
GLASS APOTHECARY BOTTLE TONIC,4,3.95,15.8,2011,July,Friday,9 AM,Weekday
GLASS APOTHECARY BOTTLE TONIC,2,3.95,7.9,2011,July,Friday,12 PM,Weekday
GLASS APOTHECARY BOTTLE TONIC,1,3.95,3.95,2011,July,Tuesday,4 PM,Weekday
GLASS APOTHECARY BOTTLE TONIC,4,3.95,15.8,2011,July,Thursday,9 AM,Weekday
GLASS APOTHECARY BOTTLE TONIC,4,3.95,15.8,2011,July,Thursday,5 PM,Weekday
GLASS APOTHECARY BOTTLE TONIC,1,3.95,3.95,2011,July,Thursday,5 PM,Weekday
GLASS APOTHECARY BOTTLE TONIC,4,3.95,15.8,2011,July,Friday,11 AM,Weekday
GLASS APOTHECARY BOTTLE TONIC,2,3.95,7.9,2011,July,Friday,2 PM,Weekday
GLASS APOTHECARY BOTTLE TONIC,2,3.95,7.9,2011,July,Sunday,1 PM,Weekend
GLASS APOTHECARY BOTTLE TONIC,1,3.95,3.95,2011,July,Sunday,3 PM,Weekend
GLASS APOTHECARY BOTTLE TONIC,1,3.95,3.95,2011,July,Monday,11 AM,Weekday
GLASS APOTHECARY BOTTLE TONIC,1,8.29,8.29,2011,July,Monday,3 PM,Weekday
GLASS APOTHECARY BOTTLE TONIC,2,3.95,7.9,2011,July,Tuesday,11 AM,Weekday
GLASS APOTHECARY BOTTLE TONIC,4,3.95,15.8,2011,July,Tuesday,5 PM,Weekday
GLASS APOTHECARY BOTTLE TONIC,1,8.29,8.29,2011,July,Wednesday,4 PM,Weekday
GLASS APOTHECARY BOTTLE TONIC,4,3.95,15.8,2011,July,Thursday,1 PM,Weekday
GLASS APOTHECARY BOTTLE TONIC,12,3.45,41.4,2011,July,Thursday,5 PM,Weekday
GLASS APOTHECARY BOTTLE TONIC,4,3.95,15.8,2011,July,Thursday,5 PM,Weekday
GLASS APOTHECARY BOTTLE TONIC,4,3.95,15.8,2011,July,Thursday,5 PM,Weekday
GLASS APOTHECARY BOTTLE TONIC,12,3.45,41.4,2011,July,Friday,2 PM,Weekday
GLASS APOTHECARY BOTTLE TONIC,4,3.95,15.8,2011,July,Monday,10 AM,Weekday
GLASS APOTHECARY BOTTLE TONIC,12,3.45,41.4,2011,July,Wednesday,10 AM,Weekday
GLASS APOTHECARY BOTTLE TONIC,4,3.95,15.8,2011,July,Thursday,12 PM,Weekday
GLASS APOTHECARY BOTTLE TONIC,4,3.95,15.8,2011,July,Thursday,3 PM,Weekday
GLASS APOTHECARY BOTTLE TONIC,4,3.95,15.8,2011,July,Friday,11 AM,Weekday
GLASS APOTHECARY BOTTLE TONIC,3,3.95,11.85,2011,August,Monday,5 PM,Weekday
GLASS APOTHECARY BOTTLE TONIC,1,8.29,8.29,2011,August,Tuesday,4 PM,Weekday
GLASS APOTHECARY BOTTLE TONIC,12,3.45,41.4,2011,August,Wednesday,3 PM,Weekday
GLASS APOTHECARY BOTTLE TONIC,4,3.95,15.8,2011,August,Thursday,6 PM,Weekday
GLASS APOTHECARY BOTTLE TONIC,12,3.45,41.4,2011,August,Friday,2 PM,Weekday
GLASS APOTHECARY BOTTLE TONIC,8,3.95,31.6,2011,August,Monday,10 AM,Weekday
GLASS APOTHECARY BOTTLE TONIC,1,8.29,8.29,2011,August,Monday,3 PM,Weekday
